Date,RSI,bbp,Price/EMA,price_momentum,vol_momentum,Action
2014-01-10,1.30238617812,0.669403075048,1.00540473696,0.00689087895079,-0.58168103435,1
2014-01-11,7.79322379282,0.696236733311,1.02807960956,0.0710686888891,1.29805297515,2
2014-01-12,1.95582169542,0.468844027576,0.996642894334,0.0183635222584,2.16897002836,-1
2014-01-13,0.782940984835,0.36799640249,0.981804321369,-0.065581629534,0.379812968993,-1
2014-01-14,0.218725270291,0.476646117004,0.9984417358,-0.0179192709739,0.245127295433,1
2014-01-15,0.6117936344,0.543962882523,1.00185644466,0.0207260024458,-0.740711594515,1
2014-01-16,7.23392541046,0.454787844269,0.999522388075,0.00247183510567,-0.0966705329194,-1
2014-01-17,0.103262648785,0.287899164424,0.975013725119,-0.050993790999,2.92959902605,-2
2014-01-18,0.439716442461,0.490168473154,0.999024802708,-0.0258365693015,-0.343810982441,1
2014-01-19,0.432708203444,0.452424653392,0.997639106194,0.0197996245154,-0.547022754494,-1
2014-01-20,12.8102005814,0.709814388659,1.01112285215,0.0210841772169,-0.7630711301,1
2014-01-21,2.342556105,0.54266014276,1.00216151289,0.0180340817463,-0.422478236888,-1
2014-01-22,1.63396045836,0.398997182049,0.996953515267,-0.0148787457163,-0.614861825071,-1
2014-01-23,0.0,0.340163509274,0.995316058103,-0.0144635333912,0.679568134651,-1
2014-01-24,0.0,0.279142492014,0.993706801813,-0.0141080879458,13.6028416648,-1
2014-01-25,0.0,0.318091105411,0.996553086686,-0.00843665748902,-0.142610893365,-1
2014-01-26,1.90259394268,0.673270241367,1.00630271502,0.0155980933176,-0.737305822572,1
2014-01-27,0.453941767061,0.295560092286,0.985576799245,-0.0188921385299,2.59521730395,-1
2014-01-28,0.554208945651,0.428389074551,0.99439136934,-0.031319562146,1.39791117737,1
2014-01-29,0.091456319208,0.0687167622356,0.996935761631,0.00281070870125,-0.46989296738,-1
2014-01-30,0.94186017754,0.0996300528604,0.996959788218,-0.00350940604788,0.715710761972,-1
2014-01-31,1.42192555298,0.597085180316,1.00097517404,0.00198566029766,-0.320359156563,1
2014-02-01,10.2094704744,0.70247113495,1.01315279266,0.0307921613215,-0.760686312966,1
2014-02-03,1.2743892727,0.354444699833,0.993246001195,-0.019478996763,0.124348303719,-1
2014-02-04,0.0281134031819,0.393697346361,0.994306374491,-0.0246660598174,0.576628437323,-1
2014-02-05,0.0,0.218985963745,0.995007707,-0.0088458797254,1.28084707113,-1
2014-02-06,0.0,0.26671189991,0.981148136822,-0.0363028280655,1.93998868296,-1
2014-02-07,0.0,0.286968933816,0.948955063384,-0.10939142069,2.90787680779,-2
2014-02-08,0.0,0.34809874758,0.96807490653,-0.0902859091211,-0.0759068160519,-1
2014-02-09,0.180634928132,0.292958312337,0.992661514787,0.00631034541373,-0.409296868598,1
2014-02-10,0.175941479062,0.244241187952,0.949885533147,-0.0724224210958,-0.0381926327416,-2
2014-02-11,0.767139629046,0.506746929664,1.00125084569,-0.0382800060237,-0.129533450963,2
2014-02-12,0.46125470677,0.404056462459,0.989757092928,0.0327022300137,-0.409115234295,-1
2014-02-13,0.536577968574,0.289800440057,0.954281961337,-0.0978195559279,0.340369553032,-2
2014-02-14,0.350336631063,0.470725220041,0.995242895655,-0.0429717050058,1.40620624451,1
2014-02-15,0.721455726008,0.57334434851,1.00859452455,0.0610295830888,-0.727179959789,1
2014-02-16,1.15818088548,0.293435596147,0.978812547387,-0.0285651968671,-0.494614083225,-2
2014-02-17,0.431433218146,0.408002383117,0.988936469298,-0.0503406005398,1.98527717274,-1
2014-02-18,0.224966673912,0.51379152531,1.00036477537,0.0112042037346,-0.0283801967057,1
2014-02-19,0.718553644062,0.265446643205,0.992272283418,-0.00395785912732,-0.642627823156,-1
2014-02-20,0.218314664264,0.293142169918,0.976289726327,-0.0539805559397,1.52128530465,-1
2014-02-21,0.0,0.293178193668,0.959743951521,-0.0917462246713,0.983321149246,-2
2014-02-22,0.495121838805,0.53202002773,1.00385743728,-0.0077260837932,-0.747745358426,2
2014-02-23,1.55072391307,0.622374145971,1.02071747507,0.0902363673026,-0.184173564678,1
2014-02-24,1.37786695501,0.335892968389,0.979281214292,-0.0240641535253,1.24010974306,-2
2014-02-25,0.218306474397,0.312044044966,0.928070047078,-0.168996808279,1.858519025,-2
2014-02-26,0.718756313825,0.606768639803,1.03087900879,0.0133415861947,2.56697307168,2
2014-02-27,1.13052649533,0.553470507427,1.01608449186,0.148188678567,-0.23904406808,1
2014-02-28,7.17230395424,0.472724051716,0.998898999504,-0.0162648704406,-0.723210127819,-1
2014-03-01,0.0574482497219,0.388708641827,0.992985554798,-0.0306078198698,-0.824289664592,-1
2014-03-02,0.399782235669,0.593867063863,1.00275232001,-0.000383623855174,-0.926274568556,1
2014-03-03,7.29434068849,0.706310792171,1.04041634449,0.0949098397255,7.43655621763,2
2014-03-05,7.52363481493,0.61223235729,1.02075249454,0.0705475443921,-0.922909627274,-1
2014-03-06,3.51345711777,0.655186557584,1.00835050508,-0.0241893132516,-0.732613914274,-1
2014-03-07,0.0,0.368526081542,0.991815135737,-0.0281216369668,1.0755615542,-1
2014-03-08,0.0,0.361754553802,0.989246512515,-0.0372631704878,-0.433490920092,-1
2014-03-09,0.0,0.302028368154,0.993164600685,-0.0160188585504,-0.814150342923,-1
2014-03-10,0.561485421693,0.560377623766,1.00112019387,0.00625947805321,0.502127298022,1
2014-03-11,0.154381701168,0.271756014385,0.971839951225,-0.0472048033773,8.16318135108,-2
